user_id,recommendations
89,"[874972, 1082185, 1029743, 1127831, 1106523]"
90,"[874972, 986912, 1082185, 1070820, 866211]"
91,"[874972, 1082185, 981760, 1029743, 859075]"
92,"[12810464, 1082185, 1058997, 981760, 962568]"
93,"[874972, 1008032, 937686, 1092945, 930918]"
94,"[874972, 1082185, 849578, 1065979, 1042702]"
95,"[1088771, 1082185, 983584, 1029743, 903325]"
96,"[874972, 1082185, 1029743, 1127831, 951590]"
97,"[968072, 1082185, 1138189, 962229, 1029743]"
98,"[874972, 1070820, 1082185, 1023720, 916122]"
99,"[948670, 1058997, 981760, 1082185, 1024306]"
100,"[849202, 916122, 908531, 910032, 9527290]"
101,"[1022428, 1070820, 1082185, 1044078, 1081177]"
102,"[874972, 1082185, 1029743, 1127831, 951590]"
103,"[874972, 1106523, 908531, 1043590, 1056775]"
104,"[1029688, 1044078, 1081177, 1029743, 1082185]"
105,"[874972, 1081177, 1096036, 995242, 923746]"
106,"[1111080, 1082185, 862349, 981760, 854852]"
107,"[874972, 1029743, 859075, 1053690, 899624]"
108,"[874972, 1082185, 1024306, 1133018, 1127831]"
109,"[874972, 1082185, 1058997, 916122, 859075]"
110,"[1134678, 981760, 951590, 1106523, 1082185]"
111,"[12810464, 1106523, 916122, 993466, 1116741]"
112,"[874972, 1011300, 1136257, 933835, 5569845]"
113,"[906844, 970030, 844179, 9677202, 5568378]"
114,"[948670, 916122, 10344585, 1029743, 853643]"
115,"[12582055, 1126899, 903325, 981760, 983584]"
116,"[874972, 1082185, 1106523, 923746, 5569230]"
117,"[948670, 1082185, 1023720, 862349, 951590]"
118,"[874972, 1023720, 878996, 1082185, 1058997]"
119,"[849202, 1082185, 995242, 986912, 1024306]"
120,"[874972, 1082185, 1029743, 1127831, 1106523]"
121,"[874972, 8090537, 1122358, 1029743, 840361]"
122,"[874972, 995242, 1030362, 866211, 940947]"
123,"[874972, 995242, 7025106, 1044078, 981760]"
124,"[874972, 951590, 1037840, 870547, 833025]"
125,"[850102, 1082185, 1058997, 1044078, 983584]"
126,"[874972, 995242, 903325, 1096036, 868764]"
127,"[904129, 1029743, 962229, 1082185, 1044078]"
128,"[849202, 962229, 1082185, 1029743, 878996]"
129,"[874972, 1058997, 878996, 1082185, 981760]"
130,"[874972, 1082185, 1029743, 1127831, 951590]"
131,"[12731517, 995242, 1057260, 1082185, 1044078]"
132,"[874972, 1126899, 1082185, 878996, 854852]"
133,"[874972, 962568, 961554, 1029743, 1082185]"
134,"[850102, 1029743, 981760, 1082185, 1101010]"
135,"[1099089, 1082185, 899682, 862349, 840361]"
136,"[12812261, 854852, 962568, 1106523, 8090537]"
137,"[874972, 1126899, 1082185, 866211, 883404]"
138,"[836445, 986912, 995242, 1082185, 1044078]"
139,"[1050741, 1058997, 8090537, 1082185, 866211]"
140,"[1013928, 1075368, 1110244, 1092026, 1004555]"
141,"[874972, 964221, 891141, 1082185, 1029743]"
142,"[874972, 944466, 13417139, 1074524, 990797]"
143,"[874972, 844165, 871756, 1106523, 1044078]"
144,"[874972, 1067695, 5568729, 1057377, 940766]"
145,"[874972, 1029743, 1044078, 1082185, 981760]"
146,"[874972, 834117, 1108131, 1069621, 1101175]"
147,"[956599, 1106523, 983584, 962568, 9527290]"
148,"[850102, 1029743, 8090537, 908531, 951590]"
149,"[874972, 1070820, 1053690, 1082185, 903325]"
150,"[874972, 1125278, 1082185, 1029743, 1127831]"
151,"[874972, 995242, 1081177, 916122, 1028473]"
152,"[1108094, 1082185, 878996, 903325, 981760]"
153,"[874972, 981760, 1133018, 859075, 819765]"
154,"[874972, 1133018, 1043590, 871094, 1036347]"
155,"[874972, 995242, 1138189, 844179, 971922]"
156,"[1000753, 1110572, 1075368, 861445, 1006184]"
157,"[874972, 962229, 1082185, 1058997, 981760]"
158,"[874972, 1082185, 862349, 981760, 868764]"
159,"[1099089, 1082185, 903325, 1106523, 983584]"
160,"[1138423, 1070820, 951590, 1101010, 962568]"
161,"[1108094, 916122, 981760, 868764, 9707454]"
162,"[1034176, 1070820, 1082185, 1024306, 981760]"
163,"[874972, 1082185, 1029743, 1127831, 1106523]"
164,"[833940, 1106523, 878996, 1082185, 1081177]"
165,"[948670, 1082185, 1106523, 1024306, 981760]"
166,"[1103808, 1106523, 1053690, 1082185, 981760]"
167,"[12810464, 833724, 13417954, 908318, 914577]"
168,"[874972, 883003, 880427, 1082185, 1029743]"
169,"[874972, 1099164, 839243, 898719, 1082185]"
170,"[874972, 1044078, 913210, 1126899, 1082185]"
171,"[6551861, 1029743, 1044078, 981760, 908531]"
172,"[874972, 995242, 981760, 1053690, 5569230]"
173,"[874972, 1082185, 1029743, 1127831, 951590]"
174,"[874972, 1082185, 1029743, 1127831, 951590]"
175,"[874972, 1082185, 995242, 1081177, 981760]"
176,"[874972, 832678, 999858, 914190, 887003]"
177,"[874972, 842140, 961979, 968732, 849843]"
178,"[1137346, 962229, 8090521, 1106523, 1110572]"
179,"[874972, 1082185, 1029743, 1127831, 951590]"
180,"[1038663, 1029743, 1082185, 983584, 965766]"
181,"[874972, 1082185, 862349, 962229, 1081177]"
182,"[874972, 845208, 1122358, 1044078, 981760]"
183,"[874972, 878996, 1053690, 1106523, 8090440]"
184,"[12812261, 1082185, 981760, 1044188, 845208]"
185,"[874972, 995242, 1101010, 1082185, 983584]"
186,"[874972, 1082185, 1029743, 1127831, 951590]"
187,"[5590965, 962229, 1082185, 983584, 1092026]"
188,"[874972, 934639, 12301405, 1082185, 1029743]"
189,"[874972, 986912, 1110572, 1093413, 913894]"
190,"[874972, 1110572, 833025, 921744, 886996]"
191,"[874972, 995242, 6632283, 910032, 13842088]"
192,"[1082627, 981760, 1053690, 1029743, 7025106]"
193,"[995151, 1029743, 986912, 8090537, 990797]"
194,"[866548, 1082185, 1106523, 878996, 1024306]"
195,"[874972, 1029743, 1044078, 1082185, 981760]"
196,"[1000753, 1024306, 1053690, 962229, 1106523]"
197,"[878715, 1092026, 908318, 1126899, 1082185]"
198,"[866548, 878996, 6034857, 1029743, 1082185]"
199,"[874972, 995242, 908318, 1082212, 13189726]"
200,"[874972, 1126899, 854852, 1096036, 1138189]"
201,"[12731517, 1029743, 1049735, 1082185, 1044078]"
202,"[982469, 1092026, 1068719, 1029743, 899624]"
203,"[1071302, 981760, 1131382, 1029743, 1082185]"
204,"[874972, 1070820, 1053690, 923746, 844179]"
205,"[874972, 878996, 916122, 1106523, 1082185]"
206,"[874972, 1106523, 1053690, 859075, 840361]"
207,"[874972, 1082185, 903325, 1138189, 961554]"
208,"[12812261, 862349, 1004906, 1082185, 1081177]"
209,"[12731517, 1029743, 1044078, 1082185, 903325]"
210,"[1013928, 1053690, 1133018, 1082185, 1081177]"
211,"[874972, 951590, 1010190, 1082185, 1133018]"
212,"[970747, 1070820, 986912, 1082185, 1044078]"
213,"[874972, 1082185, 1029743, 1127831, 951590]"
214,"[874972, 1082185, 9677202, 1081177, 901062]"
215,"[874972, 995242, 1110572, 1082185, 1024306]"
216,"[974156, 1082185, 986912, 1101010, 916122]"
217,"[12262978, 1082185, 1133018, 986912, 981760]"
218,"[878715, 1029743, 1082185, 1044078, 6034857]"
219,"[1130729, 1047769, 1048483, 862349, 1010578]"
220,"[12731517, 1029743, 1082185, 951590, 866211]"
221,"[874972, 1082185, 1106523, 923746, 1060408]"
222,"[974156, 1126899, 1024306, 1082185, 878996]"
223,"[904129, 986912, 981760, 1082185, 1133018]"
224,"[874972, 1082185, 995242, 981760, 908531]"
225,"[874972, 842423, 941368, 1029743, 1043663]"
226,"[874972, 1082185, 995242, 866211, 840361]"
227,"[874972, 975649, 1068719, 908531, 845193]"
228,"[959737, 986912, 1082185, 1126899, 981760]"
229,"[1013928, 1029743, 1082185, 883932, 1082185]"
230,"[874972, 1082185, 995242, 1044078, 916122]"
231,"[874972, 1082185, 1029743, 1127831, 951590]"
232,"[950463, 1106523, 903325, 1082185, 981760]"
233,"[833940, 1029743, 961554, 1082212, 872137]"
234,"[874972, 1082185, 1029743, 1127831, 951590]"
235,"[1075007, 1070820, 1082185, 986912, 981760]"
236,"[849202, 987562, 1010190, 1075214, 856252]"
237,"[874972, 1028816, 1136257, 5569230, 5585510]"
238,"[948670, 1106523, 1044078, 1024306, 1096036]"
239,"[874972, 1106523, 1082185, 1044078, 854852]"
240,"[874972, 909268, 914190, 1093165, 13910860]"
241,"[874972, 1119051, 870515, 12301109, 1082185]"
242,"[1034176, 995242, 1044078, 1082185, 903325]"
243,"[970866, 903325, 981760, 1126899, 1082185]"
244,"[874972, 1082185, 8090537, 1023720, 1133018]"
245,"[12731517, 1029743, 1082185, 1044078, 983584]"
246,"[874972, 833025, 941368, 922127, 7409874]"
247,"[1038663, 981760, 1081177, 1082185, 986912]"
248,"[1065017, 986912, 1106523, 1082185, 878996]"
249,"[1038663, 1082185, 1106523, 1024306, 1053690]"
250,"[980353, 8090537, 1026118, 1029743, 1081177]"
251,"[874972, 916122, 8090521, 1070820, 1101010]"
252,"[874972, 1082185, 1029743, 1127831, 951590]"
253,"[956599, 962568, 1101010, 1044078, 1037089]"
254,"[874972, 1082185, 916122, 1106523, 962568]"
255,"[874972, 5569230, 844179, 940947, 960732]"
256,"[1034176, 8090521, 962568, 862349, 965766]"
257,"[1038663, 1106523, 981760, 1082185, 908531]"
258,"[874972, 862349, 1044078, 1082185, 6034857]"
259,"[874972, 1082185, 862349, 832768, 9677202]"
260,"[874972, 913210, 1139638, 1028816, 1027569]"
261,"[836445, 962568, 999779, 981086, 862335]"
262,"[874972, 901062, 821083, 1082185, 981760]"
263,"[874972, 1082185, 965766, 1029743, 1044078]"
264,"[874972, 834117, 8019273, 7025106, 1127831]"
265,"[874972, 961554, 994577, 1092026, 990656]"
266,"[9655679, 981760, 965766, 1126899, 1082185]"
267,"[874972, 1062782, 901976, 935393, 1082185]"
268,"[874972, 995242, 951590, 1056509, 840361]"
269,"[5995129, 962229, 1082185, 1106523, 981760]"
270,"[1103808, 1106523, 1053690, 910032, 1028891]"
271,"[874972, 7025496, 1082185, 1029743, 1127831]"
272,"[874972, 1082185, 1029743, 1127831, 951590]"
273,"[1138423, 1029743, 1044078, 1057260, 981760]"
274,"[874972, 1106523, 859075, 918046, 12731544]"
275,"[962615, 961554, 868764, 1082185, 1106523]"
276,"[970747, 995242, 1044078, 986912, 916122]"
277,"[833940, 1082185, 995242, 981760, 908531]"
278,"[874972, 995242, 897125, 883202, 9833277]"
279,"[1000753, 981760, 1133018, 866211, 962568]"
280,"[879734, 1029743, 962229, 1082185, 1044078]"
281,"[874972, 1082185, 995242, 981760, 854852]"
282,"[874972, 995242, 1044078, 1082185, 916122]"
283,"[878715, 995242, 916122, 1082185, 981760]"
284,"[874972, 1082185, 1127831, 1029743, 951590]"
285,"[836445, 1082185, 1106523, 1044078, 1081177]"
286,"[1115069, 1082185, 986912, 1081177, 962568]"
287,"[833940, 1029743, 1082185, 1044078, 981760]"
288,"[874972, 903325, 993638, 1070820, 1082185]"
289,"[874972, 1082185, 903325, 1081177, 981760]"
290,"[7160764, 1138292, 1085333, 962229, 1029743]"
291,"[874972, 8090537, 908531, 1106523, 961554]"
292,"[874972, 1106523, 1135834, 933835, 1013641]"
293,"[1090931, 1082185, 868764, 995242, 1081177]"
294,"[874972, 1029743, 1082185, 983584, 854852]"
295,"[874972, 1082185, 1029743, 1127831, 951590]"
296,"[874972, 1082185, 995242, 844165, 1055504]"
297,"[874972, 995242, 1081177, 1082185, 1044078]"
298,"[874972, 1082185, 1029743, 1127831, 951590]"
299,"[874972, 1082185, 1029743, 1127831, 951590]"
300,"[874972, 962229, 1053690, 1106523, 981760]"
301,"[874972, 913210, 1047769, 5565322, 921504]"
302,"[874972, 1029743, 981760, 859075, 5568378]"
303,"[1000753, 1024306, 1081177, 1082185, 995242]"
304,"[1130729, 983584, 913210, 1029743, 1044078]"
305,"[1050741, 1029743, 1005274, 916993, 1031083]"
306,"[12262978, 1082185, 862349, 962229, 1049735]"
307,"[1014732, 845208, 923746, 1096036, 12810393]"
308,"[874972, 1058997, 1053690, 1110572, 5569230]"
309,"[874972, 1044078, 8090521, 1082185, 995242]"
310,"[874972, 987562, 833025, 997796, 1091520]"
311,"[874972, 1106523, 5585510, 907099, 1119051]"
312,"[874972, 936830, 1068719, 1105488, 923673]"
313,"[874972, 1082185, 1029743, 1127831, 951590]"
314,"[882308, 951590, 859075, 1106523, 1082185]"
315,"[874972, 6904613, 901205, 1028816, 837270]"
316,"[947858, 995242, 1044078, 1081177, 981760]"
317,"[12984576, 1126899, 1082185, 1024306, 951590]"
318,"[874972, 903325, 859075, 1106523, 962229]"
319,"[982469, 916122, 1133018, 1082185, 903325]"
320,"[12731517, 832678, 5569845, 9245106, 1128812]"
321,"[9832469, 1082185, 1058997, 986912, 1023720]"
322,"[874972, 1057260, 981760, 862349, 854852]"
323,"[874972, 1082185, 1029743, 1127831, 1106523]"
324,"[919766, 862349, 8090537, 1082185, 1057260]"
325,"[974156, 1029743, 1024306, 903325, 993638]"
326,"[1013928, 8090521, 1037840, 1101010, 5568378]"
327,"[874972, 1082185, 1029743, 1127831, 951590]"
328,"[942077, 962568, 840361, 1028816, 1119950]"
329,"[874972, 995242, 859075, 1082185, 878996]"
330,"[874972, 1092026, 840361, 995242, 1074040]"
331,"[874972, 862349, 7025106, 1082185, 981760]"
332,"[874972, 1126899, 1044078, 1082185, 961554]"
333,"[874972, 1106523, 1044078, 1081177, 981760]"
334,"[1000753, 1024306, 5569230, 1029743, 1082185]"
335,"[1079913, 970030, 1004906, 1037863, 868888]"
336,"[874972, 1082185, 1023720, 1106523, 1024306]"
337,"[874972, 1029743, 962229, 1044078, 981760]"
338,"[959737, 878996, 903325, 1082185, 1106523]"
339,"[874972, 1133018, 923746, 1082185, 1096036]"
340,"[1000753, 1082185, 995242, 1025611, 958594]"
341,"[874972, 1027569, 1082185, 1029743, 1127831]"
342,"[1000753, 1133018, 859075, 910032, 923746]"
343,"[917384, 995242, 903325, 981760, 923746]"
344,"[874972, 995242, 981760, 1004906, 1104343]"
345,"[1065017, 962229, 995242, 1082185, 878996]"
346,"[948670, 995242, 986912, 1082185, 981760]"
347,"[874972, 1110409, 1082185, 1029743, 1127831]"
348,"[9835223, 1081177, 981760, 1029743, 1082185]"
349,"[874972, 1082185, 844179, 840361, 1004906]"
350,"[12810464, 986912, 1044078, 962568, 961554]"
351,"[874972, 1057260, 981760, 1106523, 1082185]"
352,"[874972, 1082185, 1029743, 1127831, 1106523]"
353,"[874972, 1082185, 878996, 1024306, 903325]"
354,"[849202, 962229, 1082185, 981760, 916122]"
355,"[874972, 1082185, 1029743, 1127831, 951590]"
356,"[13506119, 1029743, 1082185, 1049735, 913210]"
357,"[981677, 1126899, 1082185, 1044078, 878996]"
358,"[1111080, 913894, 937626, 5568489, 961554]"
359,"[874972, 1082185, 1029743, 1127831, 951590]"
360,"[995151, 5568378, 14077333, 1079228, 9487606]"
361,"[12810464, 862349, 866211, 962229, 1082185]"
362,"[919766, 986912, 878996, 1024306, 1081177]"
363,"[874972, 972931, 1082185, 1029743, 1127831]"
364,"[874972, 872137, 912137, 1004906, 839656]"
365,"[1000753, 986912, 893018, 1082185, 1024306]"
366,"[874972, 985893, 845622, 1043895, 12810422]"
367,"[12812261, 986912, 903325, 1070820, 1082185]"
368,"[904129, 1106523, 8293439, 1037840, 908531]"
369,"[874972, 840361, 949965, 988572, 1082185]"
370,"[874972, 1004555, 837647, 962568, 961554]"
371,"[6551861, 1038038, 7168058, 941368, 928123]"
372,"[874972, 1082185, 1029743, 1127831, 951590]"
373,"[947858, 937791, 1082185, 1029743, 1127831]"
374,"[878715, 981760, 866211, 1029743, 1082185]"
375,"[874972, 1029743, 8090537, 965766, 6464165]"
376,"[1038663, 965766, 840361, 981760, 1133018]"
377,"[956599, 983584, 859075, 1126899, 1082185]"
378,"[874972, 1082185, 916122, 986912, 981760]"
379,"[874972, 1082185, 1029743, 1127831, 951590]"
380,"[1013928, 1082185, 1106523, 1024306, 854852]"
381,"[878715, 1106523, 1081177, 983584, 859075]"
382,"[874972, 1029743, 1082185, 1101010, 5569230]"
383,"[1057749, 1058997, 962568, 1082185, 916122]"
384,"[1065538, 1029743, 854852, 1082185, 859075]"
385,"[878715, 1126899, 1082185, 1057260, 1044078]"
386,"[12810391, 995242, 981760, 962229, 1044078]"
387,"[860248, 854852, 859075, 1126899, 1082185]"
388,"[874972, 1082185, 995242, 908531, 961554]"
389,"[12810464, 903325, 1132789, 1126899, 10344585]"
390,"[874972, 995242, 981760, 1082185, 1053690]"
391,"[874972, 1044078, 859075, 1029743, 962229]"
392,"[5995129, 1106523, 1082185, 951412, 903325]"
393,"[1013928, 1029743, 908531, 916122, 1053690]"
394,"[874972, 1106523, 1081177, 1082185, 854852]"
395,"[874972, 1070820, 986912, 962229, 1053690]"
396,"[878715, 1082185, 1058997, 1024306, 981760]"
397,"[919766, 1029743, 8090521, 1082185, 859075]"
398,"[874972, 1037840, 859075, 1029743, 923746]"
399,"[874972, 1075368, 1082185, 1029743, 1127831]"
400,"[878715, 1092588, 1031316, 5567702, 962568]"
401,"[1012514, 986912, 1082185, 1081177, 903325]"
402,"[874972, 854852, 859075, 1057102, 13842214]"
403,"[874972, 962568, 868319, 1082185, 995242]"
404,"[9392953, 1082185, 995242, 1092588, 1033142]"
405,"[948670, 1126899, 1082185, 962229, 986912]"
406,"[874972, 1070820, 1024306, 1082185, 1127831]"
407,"[874972, 820122, 989069, 983584, 1038746]"
408,"[1034176, 6034857, 1096036, 1082185, 1127831]"
409,"[874972, 981760, 962568, 1070820, 1082185]"
410,"[12810464, 962229, 1082185, 1029743, 1044078]"
411,"[962615, 1029743, 981760, 1082185, 903325]"
412,"[874972, 1082185, 1005274, 1106523, 986912]"
413,"[874972, 1127831, 9803601, 986912, 1082185]"
414,"[947858, 1082185, 1106523, 1081177, 981760]"
415,"[864893, 1082185, 1029743, 1127831, 1106523]"
416,"[874972, 1029743, 1006184, 1037863, 1104343]"
417,"[874972, 995242, 962568, 1082185, 903325]"
418,"[1111080, 868888, 901062, 852360, 9677466]"
419,"[874972, 1110572, 5569230, 1036501, 7025275]"
420,"[874972, 840890, 1082185, 1029743, 1127831]"
421,"[1038663, 1070820, 986912, 1082185, 903325]"
422,"[874972, 1106523, 1037840, 1044078, 962568]"
423,"[874972, 1058997, 8090546, 1082185, 962568]"
424,"[849202, 962229, 1082185, 1024306, 1081177]"
425,"[874972, 1044078, 5568378, 1070820, 913210]"
426,"[962615, 1070820, 1082185, 986912, 1057260]"
427,"[956599, 1029743, 986912, 1082185, 903325]"
428,"[874972, 1082185, 1106523, 981760, 983584]"
429,"[948670, 1029743, 1056509, 899624, 835243]"
430,"[13987010, 1029743, 962229, 986912, 1082185]"
431,"[10198378, 1070820, 962229, 1092026, 834117]"
432,"[899019, 1024306, 1081177, 1029743, 1044078]"
433,"[874972, 981760, 951590, 1082185, 1106523]"
434,"[9832469, 1044078, 981760, 951590, 1096036]"
435,"[874972, 962229, 8090537, 1117514, 970160]"
436,"[1069312, 1029743, 878996, 962229, 1024306]"
437,"[849202, 981760, 1133018, 1082185, 962229]"
438,"[874972, 1029743, 1081177, 1082185, 951590]"
439,"[874972, 1082185, 1058997, 844179, 1033142]"
440,"[874972, 1082185, 1029743, 1127831, 951590]"
441,"[948670, 827656, 985999, 1082185, 1038985]"
442,"[948670, 1058997, 1024306, 1082185, 981760]"
443,"[948670, 1082185, 1028816, 1057260, 862349]"
444,"[1038663, 5568378, 1070803, 1106523, 866211]"
445,"[874972, 989703, 942817, 1004944, 908531]"
446,"[874972, 1044188, 1103752, 1132198, 844991]"
447,"[874972, 1029743, 1057260, 1053690, 845208]"
448,"[1065538, 1058997, 951590, 1082185, 965842]"
449,"[874972, 859075, 1092026, 921744, 833025]"
450,"[863762, 995242, 981760, 916122, 1096036]"
451,"[933354, 1029743, 854852, 962229, 1082185]"
452,"[874972, 8019716, 1082185, 1029743, 1127831]"
453,"[864893, 908531, 12263692, 1082185, 1029743]"
454,"[9655679, 1070820, 987562, 1096036, 1044078]"
455,"[874972, 1088414, 822517, 862349, 1082185]"
456,"[1108094, 859075, 951412, 862349, 5569230]"
457,"[5590965, 1082185, 995242, 1081177, 859075]"
458,"[12810391, 1058997, 859075, 6034857, 5569230]"
459,"[863762, 844165, 901062, 986912, 12262832]"
460,"[874972, 1082185, 916122, 7025106, 961554]"
461,"[874972, 1029743, 916122, 1004906, 1050851]"
462,"[874972, 986912, 862349, 1082185, 1024306]"
463,"[948670, 849578, 923746, 1082185, 1106523]"
464,"[850102, 1029743, 1082185, 878996, 1096036]"
465,"[874972, 1029743, 1082185, 1029743, 1127831]"
466,"[874972, 1044078, 893018, 944137, 1046756]"
467,"[1076842, 1029743, 1082185, 1024306, 1081177]"
468,"[7160764, 1082185, 981760, 1106523, 1044078]"
469,"[849202, 916122, 1058997, 951412, 9677202]"
470,"[908314, 1023720, 1040510, 995242, 1119784]"
471,"[874972, 1082185, 1106523, 983795, 923746]"
472,"[12262778, 1049735, 9677202, 981760, 1029743]"
473,"[9521679, 1081177, 981760, 1029743, 1082185]"
474,"[1038663, 1106523, 981760, 983584, 916122]"
475,"[968072, 995242, 908531, 908318, 1075368]"
476,"[829291, 853643, 5590613, 893400, 872508]"
477,"[874972, 962229, 854852, 1029743, 908531]"
478,"[874972, 8203851, 1082185, 1029743, 1127831]"
479,"[12812261, 986912, 1057260, 962229, 1133018]"
480,"[874972, 1070820, 1082185, 903325, 7025106]"
481,"[874972, 981760, 1133018, 951590, 845208]"
482,"[874972, 981760, 1059473, 1051516, 1082185]"
483,"[10198378, 1133018, 1074524, 1011300, 1043590]"
484,"[1108094, 1070820, 854852, 840361, 1038443]"
485,"[904129, 6034857, 962568, 1029743, 1082185]"
486,"[874972, 1082185, 916122, 1136257, 1132789]"
487,"[874972, 904236, 946489, 1082185, 1029743]"
488,"[874972, 951590, 833724, 934639, 1113111]"
489,"[943940, 986912, 993638, 1082185, 1058997]"
490,"[874972, 1082185, 1044078, 1106523, 1024306]"
491,"[874972, 1082185, 1058997, 1024306, 903325]"
492,"[849202, 1070820, 1044078, 1082185, 1024306]"
493,"[948670, 1029743, 908531, 859075, 1110572]"
494,"[874972, 1082185, 1029743, 1127831, 951590]"
495,"[12810391, 1029743, 908531, 8090521, 913210]"
496,"[836445, 1106523, 899624, 844165, 999270]"
497,"[906844, 1029743, 1082185, 976199, 825541]"
498,"[874972, 1029743, 1082185, 1081177, 859075]"
499,"[874972, 1082185, 1029743, 1127831, 951590]"
500,"[874972, 1082185, 1029743, 1127831, 951590]"
501,"[899019, 8090537, 962568, 965766, 987562]"
502,"[874972, 1135868, 961846, 931297, 1082185]"
503,"[13944610, 903325, 1110572, 1070820, 1082185]"
504,"[874972, 1082185, 844179, 1106523, 983584]"
505,"[874972, 1010190, 844179, 12648296, 1135681]"
